episode,timestep,reward
86,2000,23.1744
181,4000,21.0947
255,6000,26.9459
320,8000,30.7231
369,10000,40.7551
415,12000,43.4783
436,14000,94.0476
458,16000,91.4091
478,18000,100.55
493,20000,132.1333
503,22000,193.3
514,24000,190.0
522,26000,233.625
533,28000,191.8182
540,30000,284.5714
549,32000,200.4444
556,34000,285.7143
563,36000,281.7143
569,38000,331.3333
575,40000,315.1667
580,42000,474.4
585,44000,390.0
589,46000,441.5
594,48000,392.0
598,50000,500.0
603,52000,464.2
608,54000,366.0
613,56000,426.2
617,58000,490.75
621,60000,496.0
625,62000,500.0
629,64000,496.5
633,66000,500.0
637,68000,500.0
641,70000,500.0
646,72000,391.6
650,74000,447.0
654,76000,500.0
658,78000,500.0
662,80000,500.0
666,82000,475.0
670,84000,500.0
675,86000,410.2
679,88000,500.0
683,90000,500.0
687,92000,500.0
693,94000,391.3333
697,96000,426.5
702,98000,457.6
706,100000,500.0
713,102000,283.4286
719,104000,341.0
723,106000,497.0
727,108000,464.0
731,110000,500.0
735,112000,500.0
739,114000,500.0
743,116000,500.0
747,118000,478.25
751,120000,500.0
755,122000,477.75
759,124000,476.75
764,126000,399.0
769,128000,482.4
774,130000,372.8
780,132000,347.8333
784,134000,468.0
789,136000,385.6
793,138000,500.0
797,140000,500.0
801,142000,500.0
805,144000,500.0
809,146000,500.0
813,148000,500.0
817,150000,500.0
821,152000,500.0
825,154000,500.0
829,156000,500.0
834,158000,437.2
838,160000,452.5
842,162000,460.75
846,164000,500.0
851,166000,469.4
855,168000,411.25
860,170000,483.4
864,172000,500.0
868,174000,473.5
872,176000,500.0
876,178000,500.0
880,180000,500.0
884,182000,486.5
888,184000,500.0
892,186000,500.0
896,188000,500.0
901,190000,367.0
907,192000,358.8333
912,194000,406.8
916,196000,477.75
921,198000,441.4
925,200000,429.75
929,202000,500.0
933,204000,500.0
937,206000,498.5
942,208000,460.6
946,210000,500.0
950,212000,429.75
955,214000,424.0
960,216000,385.6
965,218000,461.0
969,220000,500.0
973,222000,500.0
977,224000,484.0
982,226000,378.8
986,228000,500.0
990,230000,499.75
994,232000,500.0
998,234000,500.0
1002,236000,500.0
1006,238000,500.0
1010,240000,500.0
1014,242000,500.0
1018,244000,500.0
1022,246000,494.75
1026,248000,500.0
1030,250000,500.0
1034,252000,500.0
1039,254000,438.6
1043,256000,454.5
1047,258000,500.0
1051,260000,500.0
1055,262000,441.0
1059,264000,500.0
1063,266000,500.0
1067,268000,500.0
1071,270000,500.0
1076,272000,449.4
1080,274000,500.0
1084,276000,460.75
1088,278000,500.0
1092,280000,500.0
1096,282000,500.0
1100,284000,500.0
1104,286000,487.25
1109,288000,445.2
1113,290000,429.0
1117,292000,500.0
1121,294000,500.0
1125,296000,500.0
1129,298000,500.0
1133,300000,500.0
1137,302000,500.0
1141,304000,500.0
1146,306000,432.6
1150,308000,500.0
1154,310000,500.0
1158,312000,500.0
1162,314000,500.0
1166,316000,500.0
