episode,timestep,reward
2759,552000,-217.5511
2769,554000,-200.0631
2779,556000,-331.9775
2789,558000,-243.432
2799,560000,-222.6336
2809,562000,-231.8128
2819,564000,-363.4721
2829,566000,-158.7102
2839,568000,-228.8715
2849,570000,-207.1904
2859,572000,-366.4522
2869,574000,-298.6206
2879,576000,-329.7537
2889,578000,-196.8644
2899,580000,-206.1616
2909,582000,-305.7417
2919,584000,-314.7026
2929,586000,-209.5759
2939,588000,-233.8861
2949,590000,-312.154
2959,592000,-256.0002
2969,594000,-278.6023
2979,596000,-272.2953
2989,598000,-316.8748
2999,600000,-208.5314
3009,602000,-220.528
3019,604000,-271.2488
3029,606000,-218.1467
3039,608000,-244.3957
3049,610000,-199.0786
3059,612000,-269.3495
3069,614000,-256.0428
3079,616000,-339.6194
3089,618000,-244.5561
3099,620000,-222.1449
3109,622000,-261.1978
3119,624000,-256.2481
3129,626000,-282.1579
3139,628000,-210.7033
3149,630000,-336.4403
3159,632000,-358.5355
3169,634000,-231.8566
3179,636000,-291.2298
3189,638000,-173.2104
3199,640000,-263.2307
3209,642000,-218.3303
3219,644000,-372.1264
3229,646000,-319.9427
3239,648000,-281.162
3249,650000,-276.11
3259,652000,-194.1332
3269,654000,-280.9184
3279,656000,-171.9865
3289,658000,-259.6779
3299,660000,-184.4456
3309,662000,-327.7566
3319,664000,-261.6421
3329,666000,-291.7482
3339,668000,-253.041
3349,670000,-182.1449
3359,672000,-290.8437
3369,674000,-256.05
3379,676000,-271.0789
3389,678000,-268.6826
3399,680000,-280.1968
3409,682000,-230.987
3419,684000,-374.7515
3429,686000,-195.1835
3439,688000,-158.0791
3449,690000,-269.3578
3459,692000,-209.7055
3469,694000,-171.6052
3479,696000,-260.2743
3489,698000,-171.7902
3499,700000,-290.5731
3509,702000,-296.3469
3519,704000,-217.5157
3529,706000,-254.7159
3539,708000,-172.0072
3549,710000,-275.1223
3559,712000,-253.551
3569,714000,-267.0413
3579,716000,-205.4235
3589,718000,-260.2338
3599,720000,-242.9119
3609,722000,-300.3512
3619,724000,-272.0799
3629,726000,-234.8897
3639,728000,-313.8888
3649,730000,-228.3226
3659,732000,-338.8386
3669,734000,-294.6205
3679,736000,-332.0332
3689,738000,-264.9216
3699,740000,-386.3932
3709,742000,-205.1934
3719,744000,-187.2539
3729,746000,-206.8451
3739,748000,-360.2298
3749,750000,-218.5192
3759,752000,-173.9895
3769,754000,-268.1129
3779,756000,-268.6406
3789,758000,-263.6787
3799,760000,-165.8085
3809,762000,-207.1931
3819,764000,-255.2385
3829,766000,-183.2015
3839,768000,-233.9459
3849,770000,-237.0348
3859,772000,-133.5615
3869,774000,-235.2501
3879,776000,-220.522
3889,778000,-218.5407
3899,780000,-271.0077
3909,782000,-255.3038
3919,784000,-220.8169
3929,786000,-228.9089
3939,788000,-206.5899
3949,790000,-245.5772
3959,792000,-281.3396
3969,794000,-231.2153
3979,796000,-318.2332
3989,798000,-336.4826
3999,800000,-349.0521
4009,802000,-289.9921
4019,804000,-275.5751
4029,806000,-300.9792
4039,808000,-230.9486
4049,810000,-182.976
4059,812000,-199.9239
4069,814000,-317.168
4079,816000,-243.5963
4089,818000,-245.3617
4099,820000,-296.8739
4109,822000,-257.8688
4119,824000,-269.3041
4129,826000,-240.5957
4139,828000,-332.4618
4149,830000,-226.8345
4159,832000,-214.5677
4169,834000,-215.2606
4179,836000,-205.9389
4189,838000,-182.2779
4199,840000,-188.9327
4209,842000,-250.4359
4219,844000,-290.1082
4229,846000,-303.7283
4239,848000,-280.1779
4249,850000,-262.8281
4259,852000,-313.8638
4269,854000,-239.7175
4279,856000,-367.1962
4289,858000,-377.5832
4299,860000,-245.6505
4309,862000,-183.1136
4319,864000,-184.1146
4329,866000,-318.3167
4339,868000,-255.4703
4349,870000,-208.7398
4359,872000,-265.3839
4369,874000,-270.3918
4379,876000,-309.798
4389,878000,-369.8622
4399,880000,-310.6729
4409,882000,-265.91
4419,884000,-252.7777
4429,886000,-206.5325
4439,888000,-305.7536
4449,890000,-374.0521
4459,892000,-233.2257
4469,894000,-212.9295
4479,896000,-184.1367
4489,898000,-240.6091
4499,900000,-204.7058
4509,902000,-312.8273
4519,904000,-223.6797
4529,906000,-325.1567
4539,908000,-243.2576
4549,910000,-358.9448
4559,912000,-216.6165
4569,914000,-301.6509
4579,916000,-205.0008
4589,918000,-219.7837
4599,920000,-323.5478
4609,922000,-298.0529
4619,924000,-254.9408
4629,926000,-252.3057
4639,928000,-171.2527
4649,930000,-255.5882
4659,932000,-363.0342
4669,934000,-240.7473
4679,936000,-319.2109
4689,938000,-221.8003
4699,940000,-312.238
4709,942000,-248.8509
4719,944000,-180.675
4729,946000,-376.1002
4739,948000,-263.8806
4749,950000,-216.8164
4759,952000,-182.388
4769,954000,-269.2271
4779,956000,-194.367
4789,958000,-241.5983
4799,960000,-360.5822
4809,962000,-253.3316
4819,964000,-220.381
4829,966000,-170.6395
4839,968000,-278.0535
4849,970000,-194.8759
4859,972000,-240.8738
4869,974000,-287.9435
4879,976000,-256.7891
4889,978000,-276.5065
4899,980000,-194.3561
4909,982000,-309.1367
4919,984000,-240.389
4929,986000,-278.692
4939,988000,-329.6243
4949,990000,-281.1394
4959,992000,-256.4389
4969,994000,-245.5522
4979,996000,-254.6962
4989,998000,-224.8717
4999,1000000,-286.6462
5009,1002000,-241.0581
5019,1004000,-195.9494
5029,1006000,-280.9938
5039,1008000,-284.0337
5049,1010000,-185.7979
5059,1012000,-264.2407
5069,1014000,-386.9638
5079,1016000,-273.9881
5089,1018000,-245.1866
5099,1020000,-181.5001
5109,1022000,-289.8859
5119,1024000,-275.5701
5129,1026000,-323.1753
5139,1028000,-195.2975
5149,1030000,-276.8882
5159,1032000,-195.6519
5169,1034000,-294.6068
5179,1036000,-253.3625
5189,1038000,-267.0519
5199,1040000,-191.4976
5209,1042000,-265.8657
5219,1044000,-282.3673
5229,1046000,-242.9485
5239,1048000,-366.3777
5249,1050000,-243.4328
5259,1052000,-213.106
5269,1054000,-252.8176
5279,1056000,-203.9828
5289,1058000,-266.5627
5299,1060000,-345.0926
5309,1062000,-283.1003
5319,1064000,-243.3887
5329,1066000,-182.0241
5339,1068000,-236.4781
5349,1070000,-334.3407
5359,1072000,-195.32
5369,1074000,-205.7683
5379,1076000,-184.9
5389,1078000,-264.268
5399,1080000,-216.653
5409,1082000,-275.3514
5419,1084000,-170.6714
5429,1086000,-268.7982
5439,1088000,-209.4316
5449,1090000,-206.6935
5459,1092000,-272.2437
5469,1094000,-334.5212
5479,1096000,-204.8463
5489,1098000,-190.1259
5499,1100000,-206.4095
5509,1102000,-204.1122
5519,1104000,-344.3989
